county_fips,county_name,mean_resid_log,mean_observed,mean_predicted,n_months,pop_21plus,z_score,flag
19015,BOONE,-0.016658135886909693,0.5790207754642245,0.5828160122561126,48,20224.375,0.3268580212159658,
19145,PAGE,-0.013954754046337338,0.6339717737064825,0.6369567615851234,48,11916.25,0.33317714956262245,
19093,IDA,-0.013285450084352364,0.7660062490362568,0.7640712156351722,48,4996.0,0.334741640961963,
19101,JEFFERSON,-0.0042663149864483095,0.5229059435793203,0.5328979692140382,48,12585.0,0.3558237801567075,
19125,MARION,0.001518226765293842,0.6276332082652517,0.6233846704072278,48,24107.125,0.36934508935811633,
19089,HOWARD,0.007672925185070065,0.8334635723177771,0.815759585752485,48,6725.75,0.38373163611441785,
19003,ADAMS,0.012840253534496292,0.43541291318411895,0.42461536851283443,48,2736.25,0.39581021508512976,
19127,MARSHALL,0.0175400429962846,0.7692070698178571,0.7459198064158067,48,28443.625,0.4067959265246268,
19005,ALLAMAKEE,0.01769864531943782,0.58158055765616,0.5637429216292028,48,10298.375,0.4071666578882254,
19117,LUCAS,0.027662247326464735,0.5844103357794751,0.5626643375014543,48,6434.75,0.4304564791530152,
19137,MONTGOMERY,0.05199261161356177,0.6253445359184849,0.5873795077901439,48,7632.875,0.4873284653236871,
19013,BLACK HAWK,0.06672614938450845,1.0272931740994975,0.9569597072112715,48,94023.25,0.5217679643162576,
19161,SAC,0.06832393527943574,0.6474677989217605,0.5979390880199648,48,7312.75,0.5255027730617309,
19147,PALO ALTO,0.08160919437272975,0.8327432730366309,0.7542289512222328,48,6466.375,0.5565569349522825,
19153,POLK,0.10666196193764226,1.1539597569621722,1.03483028886915,48,359943.5,0.6151175316485009,
19105,JONES,0.12339535257297946,0.6088405603317457,0.5324371279515739,48,15893.875,0.6542316669557982,
19067,FLOYD,0.12932581032849053,0.6333327389206209,0.5513264727463388,48,11380.875,0.6680940533745682,
19113,LINN,0.13003764379823488,0.9800992109718248,0.8595686832258558,48,168511.375,0.6697579570781634,
19029,CASS,0.13395845370299628,0.834128762347064,0.7102083520326037,48,9766.375,0.678922811498353,
19097,JACKSON,0.16018250618917348,0.5814532265456872,0.4858679192858426,48,14641.0,0.7402212751273491,
19187,WEBSTER,0.1718221449805621,0.7567478310012907,0.6328462004738669,48,26915.875,0.7674288158186543,
19041,CLAY,0.18392997383388565,0.9026928215702766,0.7429590748836473,48,12094.5,0.7957307461546607,
19091,HUMBOLDT,0.22660841087796926,0.7930154946698194,0.6144355932310849,48,7050.0,0.8954911711411545,
19163,SCOTT,0.2315228014501249,0.9534657299271427,0.7541970369361474,48,127528.625,0.9069785105561726,
19061,DUBUQUE,0.24193468708386723,0.8072766709690588,0.6323649184127601,48,72133.625,0.931316190369986,
19111,LEE,0.25623567710851114,0.8443260033363549,0.648399361350432,48,25110.125,0.9647446132785485,
19083,HARDIN,0.26264441191808974,0.9233520489680593,0.705954291747776,48,12865.875,0.9797249675864842,
19017,BREMER,0.3029997746383509,0.6993959769688111,0.5134932433179009,48,17958.375,1.0740552292898111,
19191,WINNESHIEK,0.3333112128244123,0.6253098271017328,0.4450205919875195,48,14658.375,1.1449079166145573,
19155,POTTAWATTAMIE,0.3334738547435841,0.9836645704577868,0.7034064848658121,48,68112.75,1.1452880904939438,
19165,SHELBY,0.3482845764658014,0.6311190572029648,0.4394989280094406,48,8698.875,1.1799080062101384,
19027,CARROLL,0.43062106420253854,1.0568556653841774,0.6761476791772866,48,15075.625,1.3723687329239067,
19109,KOSSUTH,0.5674411665941522,0.9385002018221323,0.5205705421597868,48,10984.125,1.6921843706705366,
19045,CLINTON,0.7599244282519996,1.3953754290887908,0.650308792998609,48,34353.875,2.1421120933268027,HIGH
19033,CERRO GORDO,0.781347292765035,1.3008471154955628,0.58793899479142,48,32414.375,2.1921878274976905,HIGH
19059,DICKINSON,1.3917529128192616,2.029818066344573,0.4671128294390407,48,14056.375,3.6190049344094253,HIGH
